      樓層  梁總數  已編號  未編號
-----------------------------------
        PR       4       0       4

        RF      23       0      23

        6F      23       0      23

        5F      23       0      23

        4F      23       0      23

        3F      23       0      23

        2F      23       0      23

        1F      21       0      21

      BASE       0       0       0
